"","type","batch"
"cell 2442","beta","celseq2"
"cell 2443","beta","celseq2"
"cell 2444","beta","celseq2"
"cell 2445","beta","celseq2"
"cell 2446","beta","celseq2"
"cell 2447","beta","celseq2"
"cell 2448","beta","celseq2"
"cell 2449","beta","celseq2"
"cell 2450","beta","celseq2"
"cell 2451","beta","celseq2"
"cell 2452","beta","celseq2"
"cell 2453","beta","celseq2"
"cell 2454","beta","celseq2"
"cell 2455","beta","celseq2"
"cell 2456","beta","celseq2"
"cell 2457","beta","celseq2"
"cell 2458","beta","celseq2"
"cell 2459","beta","celseq2"
"cell 2460","beta","celseq2"
"cell 2461","beta","celseq2"
"cell 2462","beta","celseq2"
"cell 2463","beta","celseq2"
"cell 2464","beta","celseq2"
"cell 2465","beta","celseq2"
"cell 2466","beta","celseq2"
"cell 2467","beta","celseq2"
"cell 2468","beta","celseq2"
"cell 2469","beta","celseq2"
"cell 2470","beta","celseq2"
"cell 2471","beta","celseq2"
"cell 2472","beta","celseq2"
"cell 2473","beta","celseq2"
"cell 2474","beta","celseq2"
"cell 2475","beta","celseq2"
"cell 2476","beta","celseq2"
"cell 2477","beta","celseq2"
"cell 2478","beta","celseq2"
"cell 2479","beta","celseq2"
"cell 2480","beta","celseq2"
"cell 2481","beta","celseq2"
"cell 2482","beta","celseq2"
"cell 2483","beta","celseq2"
"cell 2484","beta","celseq2"
"cell 2485","beta","celseq2"
"cell 2486","beta","celseq2"
"cell 2487","beta","celseq2"
"cell 2488","beta","celseq2"
"cell 2489","beta","celseq2"
"cell 2490","beta","celseq2"
"cell 2491","beta","celseq2"
"cell 2492","beta","celseq2"
"cell 2493","beta","celseq2"
"cell 2494","beta","celseq2"
"cell 2495","beta","celseq2"
"cell 2496","beta","celseq2"
"cell 2497","beta","celseq2"
"cell 2498","beta","celseq2"
"cell 2499","beta","celseq2"
"cell 2500","beta","celseq2"
"cell 2501","beta","celseq2"
"cell 2502","beta","celseq2"
"cell 2503","beta","celseq2"
"cell 2504","beta","celseq2"
"cell 2505","beta","celseq2"
"cell 2506","beta","celseq2"
"cell 2507","beta","celseq2"
"cell 2508","beta","celseq2"
"cell 2509","beta","celseq2"
"cell 2510","beta","celseq2"
"cell 2511","beta","celseq2"
"cell 2512","beta","celseq2"
"cell 2513","beta","celseq2"
"cell 2514","beta","celseq2"
"cell 2515","beta","celseq2"
"cell 2516","beta","celseq2"
"cell 2517","beta","celseq2"
"cell 2518","beta","celseq2"
"cell 2519","beta","celseq2"
"cell 2520","beta","celseq2"
"cell 2521","beta","celseq2"
"cell 2522","beta","celseq2"
"cell 2523","beta","celseq2"
"cell 2524","beta","celseq2"
"cell 2525","beta","celseq2"
"cell 2526","beta","celseq2"
"cell 2527","beta","celseq2"
"cell 2528","beta","celseq2"
"cell 2529","beta","celseq2"
"cell 2530","beta","celseq2"
"cell 2531","beta","celseq2"
"cell 2532","beta","celseq2"
"cell 2533","beta","celseq2"
"cell 2534","beta","celseq2"
"cell 2535","beta","celseq2"
"cell 2536","beta","celseq2"
"cell 2537","beta","celseq2"
"cell 2538","delta","celseq2"
"cell 2539","delta","celseq2"
"cell 2540","delta","celseq2"
"cell 2541","delta","celseq2"
"cell 2542","delta","celseq2"
"cell 2543","delta","celseq2"
"cell 2544","delta","celseq2"
"cell 2545","delta","celseq2"
"cell 2546","delta","celseq2"
"cell 2547","delta","celseq2"
"cell 2548","delta","celseq2"
"cell 2549","delta","celseq2"
"cell 2550","delta","celseq2"
"cell 2551","delta","celseq2"
"cell 2552","delta","celseq2"
"cell 2553","delta","celseq2"
"cell 2554","delta","celseq2"
"cell 2555","delta","celseq2"
"cell 2556","delta","celseq2"
"cell 2557","delta","celseq2"
"cell 2558","delta","celseq2"
"cell 2559","delta","celseq2"
"cell 2560","delta","celseq2"
"cell 2561","delta","celseq2"
"cell 2562","delta","celseq2"
"cell 2563","delta","celseq2"
"cell 2564","delta","celseq2"
"cell 2565","delta","celseq2"
"cell 2566","delta","celseq2"
"cell 2567","delta","celseq2"
"cell 2568","delta","celseq2"
"cell 2569","delta","celseq2"
"cell 2570","delta","celseq2"
"cell 2571","delta","celseq2"
"cell 2572","delta","celseq2"
"cell 2573","delta","celseq2"
"cell 2574","delta","celseq2"
"cell 2575","delta","celseq2"
"cell 2576","delta","celseq2"
"cell 2577","delta","celseq2"
"cell 2578","delta","celseq2"
"cell 2579","delta","celseq2"
"cell 2580","delta","celseq2"
"cell 2581","delta","celseq2"
"cell 2582","delta","celseq2"
"cell 2583","delta","celseq2"
"cell 2584","delta","celseq2"
"cell 2585","delta","celseq2"
"cell 2586","delta","celseq2"
"cell 2587","delta","celseq2"
"cell 2588","delta","celseq2"
"cell 2589","delta","celseq2"
"cell 2590","delta","celseq2"
"cell 2591","delta","celseq2"
"cell 2592","delta","celseq2"
"cell 2593","delta","celseq2"
"cell 2594","delta","celseq2"
"cell 2595","delta","celseq2"
"cell 2596","delta","celseq2"
"cell 2597","delta","celseq2"
"cell 2598","delta","celseq2"
"cell 2599","delta","celseq2"
"cell 2600","delta","celseq2"
"cell 2601","delta","celseq2"
"cell 2602","delta","celseq2"
"cell 2603","delta","celseq2"
"cell 2604","delta","celseq2"
"cell 2605","delta","celseq2"
"cell 2606","delta","celseq2"
"cell 2607","delta","celseq2"
"cell 2608","delta","celseq2"
"cell 2609","delta","celseq2"
"cell 2610","delta","celseq2"
"cell 2611","delta","celseq2"
"cell 2612","delta","celseq2"
"cell 2613","delta","celseq2"
"cell 2614","delta","celseq2"
"cell 2615","delta","celseq2"
"cell 2616","delta","celseq2"
"cell 2617","delta","celseq2"
"cell 2618","delta","celseq2"
"cell 2619","delta","celseq2"
"cell 2620","delta","celseq2"
"cell 2621","delta","celseq2"
"cell 2622","delta","celseq2"
"cell 2623","delta","celseq2"
"cell 2624","delta","celseq2"
"cell 2625","delta","celseq2"
"cell 2626","delta","celseq2"
"cell 2627","delta","celseq2"
"cell 2628","delta","celseq2"
"cell 2629","delta","celseq2"
"cell 2630","delta","celseq2"
"cell 2631","delta","celseq2"
"cell 2632","delta","celseq2"
"cell 2633","delta","celseq2"
"cell 2634","delta","celseq2"
"cell 2635","delta","celseq2"
"cell 2636","delta","celseq2"
"cell 2637","delta","celseq2"
"cell 2638","delta","celseq2"
"cell 2639","delta","celseq2"
"cell 2640","delta","celseq2"
"cell 2641","delta","celseq2"
"cell 2642","delta","celseq2"
"cell 2643","delta","celseq2"
"cell 2644","delta","celseq2"
"cell 2645","delta","celseq2"
"cell 2646","delta","celseq2"
"cell 2647","delta","celseq2"
"cell 2648","delta","celseq2"
"cell 2649","delta","celseq2"
"cell 2650","delta","celseq2"
"cell 2651","delta","celseq2"
"cell 2652","delta","celseq2"
"cell 2653","delta","celseq2"
"cell 2654","delta","celseq2"
"cell 2655","delta","celseq2"
"cell 2656","delta","celseq2"
"cell 2657","delta","celseq2"
"cell 2658","delta","celseq2"
"cell 2659","delta","celseq2"
"cell 2660","delta","celseq2"
"cell 2661","delta","celseq2"
"cell 2662","delta","celseq2"
"cell 2663","delta","celseq2"
"cell 2664","delta","celseq2"
"cell 2665","delta","celseq2"
"cell 2666","delta","celseq2"
"cell 2667","delta","celseq2"
"cell 2668","delta","celseq2"
"cell 2669","delta","celseq2"
"cell 2670","delta","celseq2"
"cell 2671","delta","celseq2"
"cell 2672","delta","celseq2"
"cell 2673","delta","celseq2"
"cell 2674","delta","celseq2"
"cell 2675","delta","celseq2"
"cell 2676","delta","celseq2"
"cell 2677","delta","celseq2"
"cell 2678","delta","celseq2"
"cell 2679","delta","celseq2"
"cell 2680","delta","celseq2"
"cell 2681","delta","celseq2"
"cell 2682","delta","celseq2"
"cell 2683","delta","celseq2"
"cell 2684","delta","celseq2"
"cell 2685","delta","celseq2"
"cell 2686","delta","celseq2"
"cell 2687","delta","celseq2"
"cell 2688","delta","celseq2"
"cell 2689","delta","celseq2"
"cell 2690","delta","celseq2"
"cell 2691","delta","celseq2"
"cell 2692","delta","celseq2"
"cell 2693","delta","celseq2"
"cell 2694","delta","celseq2"
"cell 2695","delta","celseq2"
"cell 2696","delta","celseq2"
"cell 2697","delta","celseq2"
"cell 2698","delta","celseq2"
"cell 2699","delta","celseq2"
"cell 2700","delta","celseq2"
"cell 2701","delta","celseq2"
"cell 2702","delta","celseq2"
"cell 2703","delta","celseq2"
"cell 2704","delta","celseq2"
"cell 2705","delta","celseq2"
"cell 2706","delta","celseq2"
"cell 2707","delta","celseq2"
"cell 2708","delta","celseq2"
"cell 2709","delta","celseq2"
"cell 2710","delta","celseq2"
"cell 2711","delta","celseq2"
"cell 2712","delta","celseq2"
"cell 2713","delta","celseq2"
"cell 2714","delta","celseq2"
"cell 2715","delta","celseq2"
"cell 2716","delta","celseq2"
"cell 2717","delta","celseq2"
"cell 2718","delta","celseq2"
"cell 2719","delta","celseq2"
"cell 2720","delta","celseq2"
"cell 2721","delta","celseq2"
"cell 2722","delta","celseq2"
"cell 2723","delta","celseq2"
"cell 2724","delta","celseq2"
"cell 2725","delta","celseq2"
"cell 2726","delta","celseq2"
"cell 2727","delta","celseq2"
"cell 2728","delta","celseq2"
"cell 2729","delta","celseq2"
"cell 2730","delta","celseq2"
"cell 2731","delta","celseq2"
"cell 2732","delta","celseq2"
"cell 2733","delta","celseq2"
"cell 2734","delta","celseq2"
"cell 2735","delta","celseq2"
"cell 2736","delta","celseq2"
"cell 2737","delta","celseq2"
"cell 2738","delta","celseq2"
"cell 2739","delta","celseq2"
"cell 2740","delta","celseq2"
"cell 2741","ductal","celseq2"
"cell 2742","ductal","celseq2"
"cell 2743","ductal","celseq2"
"cell 2744","ductal","celseq2"
"cell 2745","ductal","celseq2"
"cell 2746","ductal","celseq2"
"cell 2747","ductal","celseq2"
"cell 2748","ductal","celseq2"
"cell 2749","ductal","celseq2"
"cell 2750","ductal","celseq2"
"cell 2751","ductal","celseq2"
"cell 2752","ductal","celseq2"
"cell 2753","ductal","celseq2"
"cell 2754","ductal","celseq2"
"cell 2755","ductal","celseq2"
"cell 2756","ductal","celseq2"
"cell 2757","ductal","celseq2"
"cell 2758","ductal","celseq2"
"cell 2759","ductal","celseq2"
"cell 2760","ductal","celseq2"
"cell 2761","ductal","celseq2"
"cell 2762","ductal","celseq2"
"cell 2763","ductal","celseq2"
"cell 2764","ductal","celseq2"
"cell 2765","ductal","celseq2"
"cell 2766","ductal","celseq2"
"cell 2767","ductal","celseq2"
"cell 2768","ductal","celseq2"
"cell 2769","ductal","celseq2"
"cell 2770","ductal","celseq2"
"cell 2771","ductal","celseq2"
"cell 2772","ductal","celseq2"
"cell 2773","ductal","celseq2"
"cell 2774","ductal","celseq2"
"cell 2775","ductal","celseq2"
"cell 2776","ductal","celseq2"
"cell 2777","ductal","celseq2"
"cell 2778","ductal","celseq2"
"cell 2779","ductal","celseq2"
"cell 2780","ductal","celseq2"
"cell 2781","ductal","celseq2"
"cell 2782","ductal","celseq2"
"cell 2783","ductal","celseq2"
"cell 2784","ductal","celseq2"
"cell 2785","ductal","celseq2"
"cell 2786","ductal","celseq2"
"cell 2787","ductal","celseq2"
"cell 2788","ductal","celseq2"
"cell 2789","ductal","celseq2"
"cell 2790","ductal","celseq2"
"cell 2791","ductal","celseq2"
"cell 2792","ductal","celseq2"
"cell 2793","ductal","celseq2"
"cell 2794","ductal","celseq2"
"cell 2795","ductal","celseq2"
"cell 2796","ductal","celseq2"
"cell 2797","ductal","celseq2"
"cell 2798","ductal","celseq2"
"cell 2799","ductal","celseq2"
"cell 2800","ductal","celseq2"
"cell 2801","ductal","celseq2"
"cell 2802","ductal","celseq2"
"cell 2803","ductal","celseq2"
"cell 2804","ductal","celseq2"
"cell 2805","ductal","celseq2"
"cell 2806","ductal","celseq2"
"cell 2807","ductal","celseq2"
"cell 2808","ductal","celseq2"
"cell 2809","ductal","celseq2"
"cell 2810","ductal","celseq2"
"cell 2811","ductal","celseq2"
"cell 2812","ductal","celseq2"
"cell 2813","ductal","celseq2"
"cell 2814","ductal","celseq2"
"cell 2815","ductal","celseq2"
"cell 2816","ductal","celseq2"
"cell 2817","ductal","celseq2"
"cell 2818","ductal","celseq2"
"cell 2819","ductal","celseq2"
"cell 2820","ductal","celseq2"
"cell 2821","ductal","celseq2"
"cell 2822","ductal","celseq2"
"cell 2823","ductal","celseq2"
"cell 2824","ductal","celseq2"
"cell 2825","ductal","celseq2"
"cell 2826","ductal","celseq2"
"cell 2827","ductal","celseq2"
"cell 2828","ductal","celseq2"
"cell 2829","ductal","celseq2"
"cell 2830","ductal","celseq2"
"cell 2831","ductal","celseq2"
"cell 2832","ductal","celseq2"
"cell 2833","ductal","celseq2"
"cell 2834","ductal","celseq2"
"cell 2835","ductal","celseq2"
"cell 2836","ductal","celseq2"
"cell 2837","ductal","celseq2"
"cell 2838","ductal","celseq2"
"cell 2839","ductal","celseq2"
"cell 2840","ductal","celseq2"
"cell 2841","ductal","celseq2"
"cell 2842","ductal","celseq2"
"cell 2843","ductal","celseq2"
"cell 2844","ductal","celseq2"
"cell 2845","ductal","celseq2"
"cell 2846","ductal","celseq2"
"cell 2847","ductal","celseq2"
"cell 2848","ductal","celseq2"
"cell 2849","ductal","celseq2"
"cell 2850","ductal","celseq2"
"cell 2851","ductal","celseq2"
"cell 2852","ductal","celseq2"
"cell 2853","ductal","celseq2"
"cell 2854","ductal","celseq2"
"cell 2855","ductal","celseq2"
"cell 2856","ductal","celseq2"
"cell 2857","ductal","celseq2"
"cell 2858","ductal","celseq2"
"cell 2859","ductal","celseq2"
"cell 2860","ductal","celseq2"
"cell 2861","ductal","celseq2"
"cell 2862","ductal","celseq2"
"cell 2863","ductal","celseq2"
"cell 2864","ductal","celseq2"
"cell 2865","ductal","celseq2"
"cell 2866","ductal","celseq2"
"cell 2867","ductal","celseq2"
"cell 2868","ductal","celseq2"
"cell 2869","ductal","celseq2"
"cell 2870","ductal","celseq2"
"cell 2871","ductal","celseq2"
"cell 2872","ductal","celseq2"
"cell 2873","ductal","celseq2"
"cell 2874","ductal","celseq2"
"cell 2875","ductal","celseq2"
"cell 2876","ductal","celseq2"
"cell 2877","ductal","celseq2"
"cell 2878","ductal","celseq2"
"cell 2879","ductal","celseq2"
"cell 2880","ductal","celseq2"
"cell 2881","ductal","celseq2"
"cell 2882","ductal","celseq2"
"cell 2883","ductal","celseq2"
"cell 2884","ductal","celseq2"
"cell 2885","ductal","celseq2"
"cell 2886","ductal","celseq2"
"cell 2887","ductal","celseq2"
"cell 2888","ductal","celseq2"
"cell 2889","ductal","celseq2"
"cell 2890","ductal","celseq2"
"cell 2891","ductal","celseq2"
"cell 2892","ductal","celseq2"
"cell 2893","ductal","celseq2"
"cell 2894","ductal","celseq2"
"cell 2895","ductal","celseq2"
"cell 2896","ductal","celseq2"
"cell 2897","ductal","celseq2"
"cell 2898","ductal","celseq2"
"cell 2899","ductal","celseq2"
"cell 2900","ductal","celseq2"
"cell 2901","ductal","celseq2"
"cell 2902","ductal","celseq2"
"cell 2903","ductal","celseq2"
"cell 2904","ductal","celseq2"
"cell 2905","ductal","celseq2"
"cell 2906","ductal","celseq2"
"cell 2907","ductal","celseq2"
"cell 2908","ductal","celseq2"
"cell 2909","ductal","celseq2"
"cell 2910","ductal","celseq2"
"cell 2911","ductal","celseq2"
"cell 2912","ductal","celseq2"
"cell 2913","ductal","celseq2"
"cell 2914","ductal","celseq2"
"cell 2915","ductal","celseq2"
"cell 2916","ductal","celseq2"
"cell 2917","ductal","celseq2"
"cell 2918","ductal","celseq2"
"cell 2919","ductal","celseq2"
"cell 2920","ductal","celseq2"
"cell 2921","ductal","celseq2"
"cell 2922","ductal","celseq2"
"cell 2923","ductal","celseq2"
"cell 2924","ductal","celseq2"
"cell 2925","ductal","celseq2"
"cell 2926","ductal","celseq2"
"cell 2927","ductal","celseq2"
"cell 2928","ductal","celseq2"
"cell 2929","ductal","celseq2"
"cell 2930","ductal","celseq2"
"cell 2931","ductal","celseq2"
"cell 2932","ductal","celseq2"
"cell 2933","ductal","celseq2"
"cell 2934","ductal","celseq2"
"cell 2935","ductal","celseq2"
"cell 2936","ductal","celseq2"
"cell 2937","ductal","celseq2"
"cell 2938","ductal","celseq2"
"cell 2939","ductal","celseq2"
"cell 2940","ductal","celseq2"
"cell 2941","ductal","celseq2"
"cell 2942","ductal","celseq2"
"cell 2943","ductal","celseq2"
"cell 2944","ductal","celseq2"
"cell 2945","ductal","celseq2"
"cell 2946","ductal","celseq2"
"cell 2947","ductal","celseq2"
"cell 2948","ductal","celseq2"
"cell 2949","ductal","celseq2"
"cell 2950","ductal","celseq2"
"cell 2951","ductal","celseq2"
"cell 2952","ductal","celseq2"
"cell 2953","ductal","celseq2"
"cell 2954","ductal","celseq2"
"cell 2955","ductal","celseq2"
"cell 2956","ductal","celseq2"
"cell 2957","ductal","celseq2"
"cell 2958","ductal","celseq2"
"cell 2959","ductal","celseq2"
"cell 2960","ductal","celseq2"
"cell 2961","ductal","celseq2"
"cell 2962","ductal","celseq2"
"cell 2963","ductal","celseq2"
"cell 2964","ductal","celseq2"
"cell 2965","ductal","celseq2"
"cell 2966","ductal","celseq2"
"cell 2967","ductal","celseq2"
"cell 2968","ductal","celseq2"
"cell 2969","ductal","celseq2"
"cell 2970","ductal","celseq2"
"cell 2971","ductal","celseq2"
"cell 2972","ductal","celseq2"
"cell 2973","ductal","celseq2"
"cell 2974","ductal","celseq2"
"cell 2975","ductal","celseq2"
"cell 2976","ductal","celseq2"
"cell 2977","ductal","celseq2"
"cell 2978","ductal","celseq2"
"cell 2979","ductal","celseq2"
"cell 2980","ductal","celseq2"
"cell 2981","ductal","celseq2"
"cell 2982","ductal","celseq2"
"cell 2983","ductal","celseq2"
"cell 2984","ductal","celseq2"
"cell 2985","ductal","celseq2"
"cell 2986","ductal","celseq2"
"cell 2987","ductal","celseq2"
"cell 2988","ductal","celseq2"
"cell 2989","ductal","celseq2"
"cell 2990","ductal","celseq2"
"cell 2991","ductal","celseq2"
"cell 2992","ductal","celseq2"
"cell 2993","ductal","celseq2"
"cell 2994","ductal","celseq2"
"cell 2995","ductal","celseq2"
"cell 2996","ductal","celseq2"
"cell 2997","ductal","celseq2"
"cell 2998","ductal","celseq2"
"cell 2999","gamma","celseq2"
"cell 3000","gamma","celseq2"
"cell 3001","gamma","celseq2"
"cell 3002","gamma","celseq2"
"cell 3003","gamma","celseq2"
"cell 3004","gamma","celseq2"
"cell 3005","gamma","celseq2"
"cell 3006","gamma","celseq2"
"cell 3007","gamma","celseq2"
"cell 3008","gamma","celseq2"
"cell 3009","gamma","celseq2"
"cell 3010","gamma","celseq2"
"cell 3011","gamma","celseq2"
"cell 3012","gamma","celseq2"
"cell 3013","gamma","celseq2"
"cell 3014","gamma","celseq2"
"cell 3015","gamma","celseq2"
"cell 3016","gamma","celseq2"
"cell 3017","gamma","celseq2"
"cell 3018","gamma","celseq2"
"cell 3019","gamma","celseq2"
"cell 3020","gamma","celseq2"
"cell 3021","gamma","celseq2"
"cell 3022","gamma","celseq2"
"cell 3023","gamma","celseq2"
"cell 3024","gamma","celseq2"
"cell 3025","gamma","celseq2"
"cell 3026","gamma","celseq2"
"cell 3027","gamma","celseq2"
"cell 3028","gamma","celseq2"
"cell 3029","gamma","celseq2"
"cell 3030","gamma","celseq2"
"cell 3031","gamma","celseq2"
"cell 3032","gamma","celseq2"
"cell 3033","gamma","celseq2"
"cell 3034","gamma","celseq2"
"cell 3035","gamma","celseq2"
"cell 3036","gamma","celseq2"
"cell 3037","gamma","celseq2"
"cell 3038","gamma","celseq2"
"cell 3039","gamma","celseq2"
"cell 3040","gamma","celseq2"
"cell 3041","gamma","celseq2"
"cell 3042","gamma","celseq2"
"cell 3043","gamma","celseq2"
"cell 3044","gamma","celseq2"
"cell 3045","gamma","celseq2"
"cell 3046","gamma","celseq2"
"cell 3047","gamma","celseq2"
"cell 3048","gamma","celseq2"
"cell 3049","gamma","celseq2"
"cell 3050","gamma","celseq2"
"cell 3051","gamma","celseq2"
"cell 3052","gamma","celseq2"
"cell 3053","gamma","celseq2"
"cell 3054","gamma","celseq2"
"cell 3055","gamma","celseq2"
"cell 3056","gamma","celseq2"
"cell 3057","gamma","celseq2"
"cell 3058","gamma","celseq2"
"cell 3059","gamma","celseq2"
"cell 3060","gamma","celseq2"
"cell 3061","gamma","celseq2"
"cell 3062","gamma","celseq2"
"cell 3063","gamma","celseq2"
"cell 3064","gamma","celseq2"
"cell 3065","gamma","celseq2"
"cell 3066","gamma","celseq2"
"cell 3067","gamma","celseq2"
"cell 3068","gamma","celseq2"
"cell 3069","gamma","celseq2"
"cell 3070","gamma","celseq2"
"cell 3071","gamma","celseq2"
"cell 3072","gamma","celseq2"
"cell 3073","gamma","celseq2"
"cell 3074","gamma","celseq2"
"cell 3075","gamma","celseq2"
"cell 3076","gamma","celseq2"
"cell 3077","gamma","celseq2"
"cell 3078","gamma","celseq2"
"cell 3079","gamma","celseq2"
"cell 3080","gamma","celseq2"
"cell 3081","gamma","celseq2"
"cell 3082","gamma","celseq2"
"cell 3083","gamma","celseq2"
"cell 3084","gamma","celseq2"
"cell 3085","gamma","celseq2"
"cell 3086","gamma","celseq2"
"cell 3087","gamma","celseq2"
"cell 3088","gamma","celseq2"
"cell 3089","gamma","celseq2"
"cell 3090","gamma","celseq2"
"cell 3091","gamma","celseq2"
"cell 3092","gamma","celseq2"
"cell 3093","gamma","celseq2"
"cell 3094","gamma","celseq2"
"cell 3095","gamma","celseq2"
"cell 3096","gamma","celseq2"
"cell 3097","gamma","celseq2"
"cell 3098","gamma","celseq2"
"cell 3099","gamma","celseq2"
"cell 3100","gamma","celseq2"
"cell 3101","gamma","celseq2"
"cell 3102","gamma","celseq2"
"cell 3103","gamma","celseq2"
"cell 3104","gamma","celseq2"
"cell 3105","gamma","celseq2"
